,Plate,Alpha,DNA
0,P4,3013,535833
1,P4,1475,532198
2,P4,1066,551112
3,P4,1116,550747
0,P4,1062,534570
1,P4,877,501015
2,P4,795,551636
3,P4,1090,551864
0,P4,989,537070
1,P4,786,511559
2,P4,737,551320
3,P4,1316,507572
0,P4,12094,514093
1,P4,56052,538412
2,P4,94139,451029
3,P4,156956,305611
0,P4,11340,538794
1,P4,38092,541751
2,P4,91120,475195
3,P4,165096,294282
0,P4,14883,503903
1,P4,45131,543413
2,P4,101925,453452
3,P4,161242,309971
0,P4,16324,542552
1,P4,40263,539963
2,P4,91584,448135
3,P4,154530,314059
0,P4,13666,544000
1,P4,43250,545730
2,P4,95187,425176
3,P4,163230,311768
0,P4,21285,545500
1,P4,53312,547041
2,P4,114788,426395
3,P4,176221,292306
0,P4,16541,545298
1,P4,34299,519941
2,P4,82155,365744
3,P4,225033,205842
0,P4,13977,547139
1,P4,42299,522606
2,P4,68171,385798
3,P4,188565,228694
0,P4,14674,549932
1,P4,45158,502169
2,P4,79874,363003
3,P4,197647,222100
0,P4,954,65368
1,P4,860,70079
2,P4,921,70859
3,P4,911,73258
0,P4,697,63212
1,P4,1508,64621
2,P4,842,70384
3,P4,853,71366
0,P4,1027,64450
1,P4,720,71162
2,P4,803,70477
3,P4,868,73804
0,P4,692,86453
1,P4,775,73403
2,P4,887,69803
3,P4,1121,68897
0,P4,752,63367
1,P4,746,75955
2,P4,989,70001
3,P4,896,71262
0,P4,921,63166
1,P4,1114,66981
2,P4,976,69064
3,P4,906,67757
0,P4,884,62499
1,P4,1017,66751
2,P4,972,67761
3,P4,1140,70455
0,P4,918,63252
1,P4,929,68407
2,P4,890,66994
3,P4,926,66858
0,P4,822,62652
1,P4,838,64005
2,P4,763,66406
3,P4,855,67085
0,P4,725,62367
1,P4,785,65033
2,P4,787,65755
3,P4,904,66482
0,P4,834,73196
1,P4,833,79217
2,P4,893,64423
3,P4,847,72489
0,P4,727,95621
1,P4,1193,63417
2,P4,872,62691
3,P4,858,93774
0,P4,4834,564628
1,P4,1370,564918
2,P4,1456,565604
3,P4,1202,563889
0,P4,1518,565655
1,P4,877,569085
2,P4,882,563019
3,P4,878,566606
0,P4,972,569679
1,P4,807,565431
2,P4,812,564464
3,P4,935,562475
0,P4,8117,565365
1,P4,18608,564756
2,P4,62078,542110
3,P4,111905,379269
0,P4,6897,565555
1,P4,17380,565233
2,P4,69177,529755
3,P4,133838,380027
0,P4,9100,569324
1,P4,35751,565093
2,P4,82399,506015
3,P4,159382,349581
0,P4,7608,564700
1,P4,24439,565879
2,P4,69486,523213
3,P4,125640,368977
0,P4,6991,566985
1,P4,26714,565683
2,P4,70577,541959
3,P4,131141,383874
0,P4,9121,568898
1,P4,39032,567648
2,P4,81140,502852
3,P4,169318,337724
0,P4,8113,565666
1,P4,29462,563599
2,P4,52825,411787
3,P4,134579,279588
0,P4,6385,568519
1,P4,19481,565587
2,P4,47269,450458
3,P4,104670,306239
0,P4,7197,567610
1,P4,24268,565172
2,P4,53170,422422
3,P4,138966,270503
0,P4,153148,66265
1,P4,424343,72658
2,P4,484338,73858
3,P4,145995,75711
0,P4,416933,67463
1,P4,437350,69743
2,P4,126859,71964
3,P4,46783,71310
0,P4,289257,65625
1,P4,106292,69032
2,P4,34906,70773
3,P4,15965,72243
0,P4,104433,67439
1,P4,30205,72579
2,P4,12433,73056
3,P4,6296,71918
0,P4,26455,65995
1,P4,10789,68461
2,P4,5269,83080
3,P4,2941,69159
0,P4,8693,66188
1,P4,4963,68039
2,P4,2421,70689
3,P4,2436,69561
0,P4,164882,65349
1,P4,412362,69774
2,P4,508576,70905
3,P4,189480,71312
0,P4,389046,64979
1,P4,370634,69507
2,P4,145809,68504
3,P4,48730,69190
0,P4,299125,65650
1,P4,97377,67288
2,P4,36708,67665
3,P4,14260,67731
0,P4,109900,63700
1,P4,35172,66221
2,P4,13355,67050
3,P4,6302,67042
0,P4,25404,62898
1,P4,9793,67879
2,P4,4854,65727
3,P4,2648,66145
0,P4,8728,62153
1,P4,4497,66196
2,P4,2599,75533
3,P4,1749,63703
0,P4,1474,444572
1,P4,4029,296123
2,P4,5275,185176
3,P4,2811,122679
0,P4,835,506948
1,P4,3263,282777
2,P4,2275,180202
3,P4,963,129844
0,P4,1451,395271
1,P4,6349,222769
2,P4,3695,143031
3,P4,2077,107103
0,P4,142090,223480
1,P4,74452,145561
2,P4,20295,105560
3,P4,5571,85595
0,P4,162835,209862
1,P4,64573,130777
2,P4,20576,101203
3,P4,5845,157461
0,P4,147346,199506
1,P4,57002,127217
2,P4,17699,94855
3,P4,4913,81755
0,P4,156083,202573
1,P4,69502,131170
2,P4,18695,97736
3,P4,5486,81222
0,P4,107625,233012
1,P4,57883,138014
2,P4,16849,101859
3,P4,4119,121331
0,P4,161134,192867
1,P4,52605,119993
2,P4,17331,92212
3,P4,5091,78555
0,P4,202903,147117
1,P4,93535,102898
2,P4,29539,83494
3,P4,8404,74323
0,P4,212044,164410
1,P4,102007,103742
2,P4,38039,100295
3,P4,10167,89369
0,P4,208399,143281
1,P4,110860,112381
2,P4,30433,80126
3,P4,9743,70660
0,P4,947,72654
1,P4,1083,71984
2,P4,1052,75146
3,P4,871,73886
0,P4,1429,92681
1,P4,848,114052
2,P4,837,71183
3,P4,974,71245
0,P4,869,90166
1,P4,851,72421
2,P4,928,71560
3,P4,853,93963
0,P4,787,72101
1,P4,756,71095
2,P4,1000,71632
3,P4,829,71693
0,P4,813,70397
1,P4,807,71757
2,P4,1162,70718
3,P4,879,69884
0,P4,1006,70175
1,P4,939,72858
2,P4,928,78668
3,P4,928,68614
0,P4,892,71911
1,P4,927,70954
2,P4,833,69610
3,P4,931,69731
0,P4,914,68998
1,P4,789,69384
2,P4,944,68650
3,P4,916,68587
0,P4,865,69395
1,P4,816,69357
2,P4,1090,68383
3,P4,1055,68012
0,P4,864,68420
1,P4,844,69146
2,P4,931,67662
3,P4,903,67690
0,P4,970,67826
1,P4,893,81798
2,P4,857,86683
3,P4,899,80733
0,P4,901,65327
1,P4,982,65504
2,P4,903,63467
3,P4,953,65163
0,P4,1428,521940
1,P4,1869,381780
2,P4,5276,224365
3,P4,3791,137733
0,P4,1966,470244
1,P4,2619,298058
2,P4,5192,191209
3,P4,2745,123372
0,P4,1066,486913
1,P4,3102,317910
2,P4,2463,230569
3,P4,2141,152955
0,P4,157620,250391
1,P4,88143,151154
2,P4,29673,106619
3,P4,8531,86068
0,P4,160808,252994
1,P4,110988,157618
2,P4,33834,106711
3,P4,8829,82209
0,P4,175531,231315
1,P4,92502,142744
2,P4,28509,102419
3,P4,8501,83206
0,P4,165192,235612
1,P4,95470,143956
2,P4,30339,136916
3,P4,9317,83811
0,P4,184740,250635
1,P4,104576,152587
2,P4,36635,105206
3,P4,10379,83962
0,P4,78201,249192
1,P4,84034,141707
2,P4,25188,117930
3,P4,7680,105232
0,P4,242925,175399
1,P4,141003,114665
2,P4,55185,89454
3,P4,16587,74562
0,P4,201665,204810
1,P4,175222,134244
2,P4,78651,92048
3,P4,23889,76195
0,P4,222359,176211
1,P4,155191,113575
2,P4,52841,84555
3,P4,14716,71406
0,P4,57231,73700
1,P4,24515,68695
2,P4,11891,73111
3,P4,6195,72153
0,P4,16980,70538
1,P4,7875,69890
2,P4,3870,72154
3,P4,2191,70458
0,P4,6674,65982
1,P4,3459,68799
2,P4,2322,107384
3,P4,2061,73182
0,P4,3323,73419
1,P4,2363,72192
2,P4,1722,73409
3,P4,1534,73321
0,P4,1855,70131
1,P4,1437,76159
2,P4,1332,70484
3,P4,1167,70279
0,P4,1453,69770
1,P4,1414,72908
2,P4,1103,70252
3,P4,1029,69923
0,P4,62084,70662
1,P4,20777,71547
2,P4,9757,62660
3,P4,5196,71223
0,P4,18291,71467
1,P4,8350,68799
2,P4,4305,67868
3,P4,2423,67680
0,P4,7351,67569
1,P4,3948,71354
2,P4,2585,110958
3,P4,4857,138866
0,P4,3339,69042
1,P4,2400,68161
2,P4,2688,101622
3,P4,2591,95420
0,P4,1860,67071
1,P4,1520,71745
2,P4,1303,65385
3,P4,1094,89027
0,P4,1338,66550
1,P4,1146,65862
2,P4,1237,65784
3,P4,1082,68259
0,P5,3173,534973
1,P5,1358,531232
2,P5,1037,553559
3,P5,1136,550453
0,P5,955,533660
1,P5,899,537906
2,P5,740,551560
3,P5,914,551948
0,P5,804,536516
1,P5,820,540037
2,P5,753,553557
3,P5,1391,512678
0,P5,12276,538692
1,P5,47264,536973
2,P5,73028,498827
3,P5,160723,311987
0,P5,11457,539301
1,P5,41693,539944
2,P5,88505,477946
3,P5,161297,318080
0,P5,15193,536976
1,P5,43579,543110
2,P5,103313,459774
3,P5,160141,324798
0,P5,14942,541194
1,P5,41406,542806
2,P5,93216,460649
3,P5,140934,333487
0,P5,13980,543126
1,P5,53406,541537
2,P5,94071,475207
3,P5,165033,324531
0,P5,19605,544873
1,P5,53228,546264
2,P5,116655,435584
3,P5,213886,271649
0,P5,16633,545374
1,P5,34297,528599
2,P5,89979,359573
3,P5,229794,212125
0,P5,13785,545200
1,P5,39236,522154
2,P5,69293,382924
3,P5,202044,223764
0,P5,14190,548363
1,P5,40584,525833
2,P5,77756,364987
3,P5,201113,223352
0,P5,885,69020
1,P5,817,74319
2,P5,1034,78668
3,P5,958,77142
0,P5,721,73919
1,P5,806,73121
2,P5,806,73366
3,P5,925,75176
0,P5,1152,69092
1,P5,1034,68962
2,P5,838,74945
3,P5,890,73823
0,P5,762,69285
1,P5,812,70954
2,P5,820,73334
3,P5,884,72490
0,P5,738,66159
1,P5,842,71866
2,P5,889,73092
3,P5,987,74837
0,P5,860,66579
1,P5,848,72144
2,P5,935,74791
3,P5,1081,73814
0,P5,673,65186
1,P5,858,73257
2,P5,929,70902
3,P5,927,72672
0,P5,727,65847
1,P5,773,68807
2,P5,820,69790
3,P5,932,70486
0,P5,733,65653
1,P5,864,68544
2,P5,798,69252
3,P5,1022,69357
0,P5,809,63501
1,P5,834,65555
2,P5,801,68438
3,P5,885,67670
0,P5,910,63886
1,P5,856,72853
2,P5,919,66535
3,P5,915,66783
0,P5,704,68486
1,P5,890,67322
2,P5,900,81689
3,P5,849,63881
0,P5,5248,565891
1,P5,1461,566065
2,P5,1310,566132
3,P5,1151,564689
0,P5,1094,567727
1,P5,873,564483
2,P5,769,565066
3,P5,932,565479
0,P5,917,564400
1,P5,831,567072
2,P5,774,562880
3,P5,937,561977
0,P5,7724,566210
1,P5,16976,565904
2,P5,60658,546654
3,P5,131880,352133
0,P5,6811,565427
1,P5,27535,565516
2,P5,67809,536751
3,P5,141240,368889
0,P5,8624,559194
1,P5,34685,566716
2,P5,80776,518743
3,P5,160966,353938
0,P5,7946,565480
1,P5,34489,565664
2,P5,66136,531887
3,P5,126704,377444
0,P5,4260,553990
1,P5,13965,523063
2,P5,71705,549195
3,P5,136849,388990
0,P5,9863,567607
1,P5,41740,566697
2,P5,82964,498956
3,P5,158675,339326
0,P5,8663,566127
1,P5,29111,565286
2,P5,56034,432953
3,P5,136733,283100
0,P5,6639,564578
1,P5,26111,564599
2,P5,43891,378334
3,P5,107201,307698
0,P5,6999,568971
1,P5,27665,567816
2,P5,49892,426423
3,P5,146557,269777
0,P5,160253,69368
1,P5,428246,75087
2,P5,493753,76280
3,P5,202930,79759
0,P5,417148,70537
1,P5,420449,72798
2,P5,128606,74886
3,P5,50411,73223
0,P5,299210,67824
1,P5,111160,71380
2,P5,36288,72149
3,P5,15356,71888
0,P5,107359,70092
1,P5,29434,75661
2,P5,13772,73784
3,P5,6762,73870
0,P5,27083,70250
1,P5,11616,70166
2,P5,5279,72412
3,P5,2810,73793
0,P5,8899,69506
1,P5,4930,70485
2,P5,2579,73808
3,P5,2283,70697
0,P5,164556,68726
1,P5,401460,71341
2,P5,518717,70345
3,P5,192248,73216
0,P5,431389,70267
1,P5,430673,70342
2,P5,153559,69715
3,P5,50189,70299
0,P5,308311,69244
1,P5,106078,70016
2,P5,37804,69554
3,P5,14919,69775
0,P5,111117,63167
1,P5,37792,68526
2,P5,14131,69158
3,P5,6517,68898
0,P5,26208,64784
1,P5,10207,68154
2,P5,5287,66698
3,P5,2871,66875
0,P5,9261,64276
1,P5,4309,66579
2,P5,2776,66464
3,P5,1871,64962
0,P5,1326,448848
1,P5,3883,296730
2,P5,4488,185676
3,P5,2674,124098
0,P5,734,505269
1,P5,2683,303794
2,P5,2239,181476
3,P5,1339,122465
0,P5,1420,400242
1,P5,4915,228409
2,P5,4128,149019
3,P5,2130,108862
0,P5,145145,222910
1,P5,61929,139600
2,P5,20896,105119
3,P5,5890,86868
0,P5,161733,215136
1,P5,71371,134419
2,P5,20437,101273
3,P5,5948,89365
0,P5,135818,168761
1,P5,63605,131750
2,P5,17708,97219
3,P5,5274,82722
0,P5,158766,205044
1,P5,68113,135469
2,P5,18833,98842
3,P5,5723,82925
0,P5,146869,223345
1,P5,33292,156450
2,P5,90,117223
3,P5,125,100210
0,P5,165634,191213
1,P5,64808,126360
2,P5,18021,95362
3,P5,5299,81648
0,P5,202799,145623
1,P5,96609,106916
2,P5,28525,84630
3,P5,8439,75446
0,P5,221074,159277
1,P5,112454,104227
2,P5,38970,81335
3,P5,10760,75113
0,P5,215987,145820
1,P5,103913,102687
2,P5,31105,82831
3,P5,9442,74728
0,P5,969,75336
1,P5,828,73255
2,P5,956,73784
3,P5,896,73683
0,P5,763,80124
1,P5,885,77491
2,P5,825,72652
3,P5,899,72765
0,P5,820,72668
1,P5,962,73018
2,P5,1306,73003
3,P5,1018,72040
0,P5,855,73772
1,P5,856,74116
2,P5,864,72165
3,P5,914,72259
0,P5,845,72149
1,P5,933,74312
2,P5,820,71056
3,P5,926,71595
0,P5,1064,70762
1,P5,1032,72420
2,P5,1105,70911
3,P5,940,71081
0,P5,903,70717
1,P5,870,72348
2,P5,892,70500
3,P5,976,70468
0,P5,856,71387
1,P5,1028,70775
2,P5,913,69506
3,P5,888,69257
0,P5,834,71703
1,P5,866,70913
2,P5,915,70370
3,P5,829,69981
0,P5,807,66077
1,P5,823,70660
2,P5,838,69268
3,P5,821,68790
0,P5,853,66613
1,P5,925,68232
2,P5,931,67490
3,P5,946,68208
0,P5,854,84497
1,P5,1033,65124
2,P5,961,64480
3,P5,1249,64071
0,P5,1394,512349
1,P5,1525,384568
2,P5,4640,213423
3,P5,2893,134857
0,P5,1752,480045
1,P5,5064,296956
2,P5,4601,184136
3,P5,2337,123117
0,P5,1162,475460
1,P5,11220,250613
2,P5,5316,195597
3,P5,3167,126353
0,P5,157138,250705
1,P5,94007,154742
2,P5,29259,105949
3,P5,8370,85761
0,P5,161395,251113
1,P5,104726,156173
2,P5,32100,118047
3,P5,8890,93295
0,P5,176524,229162
1,P5,93937,144359
2,P5,27985,101088
3,P5,8186,83708
0,P5,170098,228546
1,P5,95207,147885
2,P5,29952,113152
3,P5,8686,84592
0,P5,182850,251756
1,P5,114164,157174
2,P5,36181,107301
3,P5,9894,84361
0,P5,179756,219121
1,P5,88435,136301
2,P5,25485,98246
3,P5,7296,81578
0,P5,239942,171129
1,P5,156150,119007
2,P5,55109,88742
3,P5,15832,75564
0,P5,203253,202321
1,P5,189274,128493
2,P5,73649,106293
3,P5,23383,76531
0,P5,223950,177039
1,P5,153972,114681
2,P5,55217,84645
3,P5,14314,71982
0,P5,63541,70163
1,P5,19581,73114
2,P5,11620,72482
3,P5,4555,70890
0,P5,17121,69040
1,P5,7962,70069
2,P5,3871,72156
3,P5,2397,71681
0,P5,5952,95750
1,P5,3334,73285
2,P5,2364,95066
3,P5,1469,100815
0,P5,3189,73715
1,P5,2010,71019
2,P5,1562,72251
3,P5,1146,71393
0,P5,2079,70171
1,P5,1261,72815
2,P5,1420,71423
3,P5,1166,70617
0,P5,1281,70309
1,P5,1254,70506
2,P5,1122,72310
3,P5,1198,70736
0,P5,62147,71114
1,P5,22677,70242
2,P5,10124,70934
3,P5,5199,71806
0,P5,18073,69866
1,P5,7887,86009
2,P5,4216,68844
3,P5,2396,67937
0,P5,6795,68396
1,P5,3587,67052
2,P5,2398,68590
3,P5,1735,68149
0,P5,3614,71389
1,P5,2012,71211
2,P5,1613,69103
3,P5,1328,68847
0,P5,1898,67944
1,P5,1304,69121
2,P5,1359,73402
3,P5,1045,67711
0,P5,1371,66949
1,P5,1110,69001
2,P5,1374,66708
3,P5,1023,64517
0,P6,3013,534098
1,P6,1389,530922
2,P6,1146,551573
3,P6,1095,550594
0,P6,964,535070
1,P6,1564,535676
2,P6,743,550020
3,P6,1329,550169
0,P6,917,537335
1,P6,875,538211
2,P6,1017,551587
3,P6,1406,508866
0,P6,14362,539467
1,P6,46062,539146
2,P6,71805,479810
3,P6,157033,303090
0,P6,4570,515315
1,P6,36228,542946
2,P6,98799,443627
3,P6,161984,264260
0,P6,16507,544260
1,P6,45081,543111
2,P6,98111,444469
3,P6,168947,307200
0,P6,16004,543567
1,P6,40716,545158
2,P6,88231,454251
3,P6,142264,317681
0,P6,13969,543764
1,P6,53099,544677
2,P6,92522,462237
3,P6,167068,305578
0,P6,21384,543995
1,P6,48024,545801
2,P6,119042,419888
3,P6,183781,288892
0,P6,18453,546622
1,P6,42157,492472
2,P6,93087,349741
3,P6,240688,200659
0,P6,15741,548837
1,P6,34380,526393
2,P6,74222,339836
3,P6,202406,215480
0,P6,15276,547018
1,P6,37364,505390
2,P6,76331,326812
3,P6,222676,204630
0,P6,1117,66712
1,P6,855,70149
2,P6,1089,72470
3,P6,954,73623
0,P6,1384,65012
1,P6,856,64576
2,P6,820,71046
3,P6,903,72319
0,P6,838,65610
1,P6,837,69013
2,P6,870,71606
3,P6,973,71990
0,P6,771,66587
1,P6,999,65877
2,P6,1164,71698
3,P6,798,69486
0,P6,886,63832
1,P6,943,69380
2,P6,1288,71064
3,P6,1033,74009
0,P6,1050,63370
1,P6,1035,69027
2,P6,963,69643
3,P6,1022,71357
0,P6,804,63478
1,P6,898,66380
2,P6,851,68410
3,P6,875,71314
0,P6,784,63664
1,P6,2113,64305
2,P6,931,68525
3,P6,1116,67304
0,P6,976,62628
1,P6,838,66199
2,P6,829,67295
3,P6,845,67126
0,P6,760,63271
1,P6,829,63796
2,P6,889,66377
3,P6,918,65140
0,P6,998,61281
1,P6,886,80473
2,P6,963,65454
3,P6,975,63729
0,P6,816,71088
1,P6,960,74375
2,P6,915,62718
3,P6,1082,67586
0,P6,5007,564651
1,P6,1701,564700
2,P6,1616,563776
3,P6,1154,563285
0,P6,1054,565121
1,P6,823,564243
2,P6,823,552017
3,P6,1152,563738
0,P6,961,566902
1,P6,845,564686
2,P6,837,564737
3,P6,1160,565801
0,P6,6967,566648
1,P6,18416,565911
2,P6,60660,550383
3,P6,139045,357936
0,P6,7209,564738
1,P6,18552,564891
2,P6,66961,542019
3,P6,141940,358253
0,P6,9505,566614
1,P6,37265,566251
2,P6,77804,511624
3,P6,151560,350978
0,P6,8278,566209
1,P6,34723,565273
2,P6,67664,523046
3,P6,148527,345217
0,P6,7673,527526
1,P6,25110,566455
2,P6,70506,538463
3,P6,136666,378303
0,P6,10702,564252
1,P6,42697,566616
2,P6,83720,499394
3,P6,165457,329509
0,P6,8552,566585
1,P6,29711,563691
2,P6,57876,413520
3,P6,144101,272628
0,P6,6782,566628
1,P6,25223,566486
2,P6,47170,451351
3,P6,112078,296957
0,P6,8003,566446
1,P6,26239,561785
2,P6,55630,402321
3,P6,143889,261729
0,P6,163314,66136
1,P6,457593,73338
2,P6,510542,74716
3,P6,184244,74139
0,P6,432849,69626
1,P6,439428,68618
2,P6,132278,72323
3,P6,54388,69505
0,P6,306407,66424
1,P6,115701,68451
2,P6,37659,71228
3,P6,15806,70747
0,P6,106514,67951
1,P6,39452,69533
2,P6,13817,71637
3,P6,6632,71452
0,P6,27173,66223
1,P6,9695,71337
2,P6,5285,70037
3,P6,2882,71381
0,P6,8681,67073
1,P6,4748,68348
2,P6,2607,70878
3,P6,2212,71094
0,P6,173837,66006
1,P6,408294,67478
2,P6,523517,70771
3,P6,194176,69770
0,P6,451302,65329
1,P6,432030,67516
2,P6,152963,68392
3,P6,49924,68394
0,P6,308098,67302
1,P6,106212,65777
2,P6,37760,68478
3,P6,14676,63927
0,P6,111457,63221
1,P6,37237,65721
2,P6,13808,67042
3,P6,6465,67049
0,P6,25678,62721
1,P6,10109,63015
2,P6,5137,65194
3,P6,2900,65375
0,P6,9035,63460
1,P6,4540,64668
2,P6,2834,63329
3,P6,1808,62165
0,P6,1650,436600
1,P6,4380,288743
2,P6,3881,184138
3,P6,2591,121159
0,P6,886,498858
1,P6,3207,273615
2,P6,2268,175767
3,P6,1552,115503
0,P6,1703,390153
1,P6,6612,211287
2,P6,3342,141838
3,P6,2115,107042
0,P6,154299,214164
1,P6,60070,132001
2,P6,20922,103887
3,P6,5535,84789
0,P6,175651,203768
1,P6,73709,131346
2,P6,20546,100717
3,P6,5934,81816
0,P6,153730,186907
1,P6,65399,124472
2,P6,17073,94883
3,P6,5259,81054
0,P6,160120,196912
1,P6,68641,128646
2,P6,18960,95635
3,P6,5696,80778
0,P6,149361,218401
1,P6,63175,133981
2,P6,16050,101732
3,P6,4302,85446
0,P6,166563,186860
1,P6,64254,122863
2,P6,17726,91536
3,P6,5256,77952
0,P6,211729,143301
1,P6,98563,101826
2,P6,28636,82743
3,P6,8775,74362
0,P6,230717,155242
1,P6,115132,102418
2,P6,39391,95567
3,P6,10693,71977
0,P6,224424,140214
1,P6,103831,98220
2,P6,31271,78942
3,P6,9412,68137
0,P6,925,76247
1,P6,961,75453
2,P6,1112,74171
3,P6,995,72415
0,P6,811,93801
1,P6,890,74110
2,P6,932,72366
3,P6,969,71694
0,P6,1082,72693
1,P6,923,74330
2,P6,1018,72363
3,P6,932,71549
0,P6,838,72794
1,P6,865,72503
2,P6,904,72270
3,P6,874,71911
0,P6,904,71962
1,P6,950,72303
2,P6,869,71358
3,P6,933,70663
0,P6,927,70868
1,P6,899,71454
2,P6,948,75951
3,P6,1011,69664
0,P6,906,71696
1,P6,924,71306
2,P6,975,89630
3,P6,944,69858
0,P6,1014,70514
1,P6,922,70061
2,P6,936,68814
3,P6,1013,69009
0,P6,898,70129
1,P6,971,70528
2,P6,960,68753
3,P6,889,68915
0,P6,876,68287
1,P6,904,70189
2,P6,894,68551
3,P6,874,67646
0,P6,944,68225
1,P6,1005,82402
2,P6,1111,78082
3,P6,1002,67227
0,P6,880,65669
1,P6,914,66727
2,P6,985,63905
3,P6,984,63369
0,P6,2073,518197
1,P6,1900,383354
2,P6,4745,220446
3,P6,2868,135294
0,P6,1929,472945
1,P6,2296,299163
2,P6,4633,184414
3,P6,2314,122806
0,P6,1357,500471
1,P6,1574,367260
2,P6,3901,187043
3,P6,2232,146198
0,P6,165787,244209
1,P6,94394,146717
2,P6,30365,108156
3,P6,8234,97992
0,P6,172462,246935
1,P6,107471,151588
2,P6,35643,120588
3,P6,9083,84602
0,P6,186021,227180
1,P6,93172,142645
2,P6,29504,102095
3,P6,8163,87016
0,P6,167075,218883
1,P6,98345,144033
2,P6,31962,103152
3,P6,8766,85184
0,P6,191922,251829
1,P6,107984,155736
2,P6,36440,107288
3,P6,10149,83425
0,P6,188007,210653
1,P6,91871,134777
2,P6,26588,112091
3,P6,7285,83136
0,P6,258498,171401
1,P6,155045,115714
2,P6,57770,88460
3,P6,16068,74220
0,P6,219550,197702
1,P6,193187,132568
2,P6,81024,91235
3,P6,23872,75606
0,P6,235304,169230
1,P6,156817,111320
2,P6,53190,82482
3,P6,14953,70489
0,P6,66407,74347
1,P6,21686,73196
2,P6,11098,73578
3,P6,5076,90631
0,P6,17531,72165
1,P6,8228,88557
2,P6,4289,71809
3,P6,2363,72150
0,P6,6835,72137
1,P6,3309,72989
2,P6,2780,74517
3,P6,1971,73148
0,P6,3328,74036
1,P6,2105,89228
2,P6,1417,73570
3,P6,1450,74360
0,P6,1958,71166
1,P6,1386,73377
2,P6,1179,71055
3,P6,1203,70942
0,P6,1259,79399
1,P6,1269,70425
2,P6,1337,70049
3,P6,1130,69394
0,P6,64987,70788
1,P6,23027,71060
2,P6,10456,68649
3,P6,5448,70770
0,P6,18447,86424
1,P6,8425,70610
2,P6,4336,69256
3,P6,2477,69236
0,P6,7176,69325
1,P6,3673,69134
2,P6,2390,68689
3,P6,1731,68064
0,P6,3786,69915
1,P6,2414,70883
2,P6,1596,69410
3,P6,1320,70034
0,P6,1871,68073
1,P6,1400,67110
2,P6,1866,66443
3,P6,1193,66685
0,P6,1474,68534
1,P6,1169,68353
2,P6,1170,66173
3,P6,1334,65127
